DATE,AWHMAN,AWOTMAN,BUSLOANS,CE16OV,CES0600000007,CES1021000001,CLF16OV,CMRMTSPL,CUMFNS,DMANEMP,DPCERA3M086SBEA,DTCOLNVHFNM,DTCTHFNM,HOUST,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,INDPRO,IPB51222S,IPBUSEQ,IPCONGD,IPDCONGD,IPDMAT,IPFINAL,IPFPNSS,IPFUELS,IPMANSICS,IPMAT,IPNCONGD,IPNMAT,M1SL,M2REAL,M2SL,MANEMP,PAYEMS,REALLN,RPI,SRVPRD,UEMP15OV,UEMP15T26,UEMP27OV,UEMP5TO14,UEMPLT5,UEMPMEAN,UNRATE,USCONS,USFIRE,USGOOD,USGOVT,USTRADE,USWTRADE,W875RX1,WPSFD49207,WPSFD49502,WPSID61,WPSID62,ISRATIO
1997-11-01,41.8,5.2,839.9122,130653.0,41.0,574.4,136961.0,1008029.0,83.8297,10848.0,68.506,92543.2,343882.34,1510.0,275.0,171.0,666.0,398.0,83.7534,89.0679,73.0195,98.3807,85.9906,61.8793,90.672,92.5783,68.0704,86.494,74.4991,102.6753,111.986,1070.9,2482.9,4014.8,17556.0,124235.0,1219.1973,9726.892,100123.0,1817.0,879.0,938.0,2027.0,2479.0,15.4,4.6,5899.0,7370.0,24112.0,19761.0,14509.0,5679.5,8441.2,131.6,130.1,125.6,115.8,1.41
1997-12-01,42.0,5.3,845.1279,130679.0,41.3,576.5,137155.0,1005490.0,83.6787,10879.0,68.896,93258.82,350397.35,1566.0,333.0,133.0,707.0,393.0,84.1331,87.6414,73.5712,98.0994,85.835,62.38,90.7738,92.8254,69.2361,86.9715,75.0153,102.3381,112.8697,1072.3,2492.5,4032.9,17588.0,124549.0,1220.671,9785.812,100365.0,1901.0,917.0,984.0,1937.0,2534.0,15.9,4.7,5938.0,7400.0,24184.0,19766.0,14539.5,5689.1,8493.1,131.4,129.9,125.4,108.8,1.42
1998-01-01,41.9,5.2,855.6337,130726.0,41.1,578.9,137095.0,1007443.0,83.6916,10917.0,68.835,93970.18,346137.35,1525.0,345.0,148.0,644.0,388.0,84.5113,80.5427,74.544,98.5333,86.2275,62.863,91.4561,93.3565,68.986,87.6272,75.2329,102.785,112.7371,1074.0,2503.8,4056.2,17619.0,124812.0,1224.4168,9873.266,100550.0,1833.0,838.0,995.0,1929.0,2587.0,15.6,4.6,5983.0,7425.0,24262.0,19770.0,14523.9,5712.6,8575.7,130.7,128.9,124.6,102.8,1.43
1998-02-01,41.7,5.1,862.3836,130807.0,41.1,579.1,137112.0,1021587.0,83.2048,10930.0,69.282,91622.62,345044.5,1584.0,376.0,190.0,690.0,328.0,84.6409,81.6666,74.8457,98.4071,86.0722,63.1667,91.5466,93.5393,67.6848,87.7604,75.3053,102.6754,112.1644,1077.8,2524.0,4088.9,17627.0,125016.0,1237.6103,9940.962,100733.0,1809.0,852.0,957.0,1918.0,2572.0,15.4,4.6,5997.0,7451.0,24283.0,19786.0,14514.5,5719.1,8638.7,130.6,128.8,124.2,100.8,1.43
1998-03-01,41.6,5.1,866.0855,130814.0,40.9,577.7,137236.0,1026646.0,82.4518,10944.0,69.591,94118.62,346672.86,1567.0,311.0,147.0,712.0,397.0,84.6684,85.4462,75.2178,98.4705,86.2736,62.9049,91.661,93.6628,68.1603,87.605,75.2297,102.6711,111.5825,1076.9,2539.7,4114.3,17637.0,125164.0,1252.3583,10002.033,100900.0,1772.0,854.0,918.0,1972.0,2789.0,14.5,4.7,5969.0,7485.0,24264.0,19792.0,14513.0,5729.8,8693.7,130.5,128.7,123.7,99.5,1.43
1998-04-01,41.2,4.7,864.3601,131209.0,40.6,573.3,137150.0,1028038.0,82.2608,10953.0,69.962,98196.02,349284.19,1540.0,340.0,132.0,690.0,378.0,84.9827,84.657,75.4138,99.1124,86.5809,63.2357,92.105,94.0782,67.9455,88.0336,75.4345,103.4622,112.087,1076.5,2552.5,4140.2,17637.0,125442.0,1258.9,10039.324,101102.0,1476.0,594.0,883.0,1918.0,2628.0,14.7,4.3,6049.0,7508.0,24340.0,19816.0,14533.5,5738.2,8731.5,130.7,128.9,123.6,100.6,1.44
1998-05-01,41.5,4.9,875.9644,131325.0,40.9,569.9,137372.0,1031549.0,82.0994,10953.0,70.468,97547.47,350877.78,1536.0,294.0,147.0,707.0,388.0,85.5129,85.8072,75.8641,99.4847,87.2298,63.6732,92.5093,94.6202,67.2815,88.4801,75.95,103.696,111.882,1079.1,2561.1,4164.4,17624.0,125844.0,1259.7501,10085.552,101483.0,1490.0,651.0,839.0,1950.0,2641.0,14.7,4.4,6087.0,7535.0,24361.0,19875.0,14579.0,5749.7,8778.6,130.5,128.8,123.5,99.6,1.43
1998-06-01,41.4,4.8,891.0957,131244.0,40.8,568.6,137455.0,1027423.0,80.9349,10949.0,70.936,98273.51,358187.59,1641.0,318.0,139.0,772.0,412.0,84.998,89.5223,75.9294,98.4473,83.1894,62.7572,91.9039,94.1515,67.4505,87.8179,75.3803,104.0912,112.0845,1076.3,2570.1,4184.1,17608.0,126076.0,1261.0691,10144.008,101689.0,1613.0,824.0,789.0,2079.0,2546.0,14.1,4.5,6130.0,7561.0,24387.0,19879.0,14599.7,5754.0,8832.4,130.4,128.7,123.1,97.1,1.44
1998-07-01,41.4,4.8,897.6695,131329.0,40.8,564.2,137588.0,1021420.0,80.0857,10782.0,70.981,100413.61,361741.4,1698.0,312.0,152.0,803.0,431.0,84.6664,90.9204,75.4928,97.5533,79.8504,62.4289,91.2702,93.8374,67.4186,87.4492,75.0246,104.3562,112.01,1075.1,2575.9,4203.8,17422.0,126205.0,1265.6833,10162.839,101967.0,1577.0,755.0,821.0,2005.0,2593.0,14.1,4.5,6172.0,7593.0,24238.0,19930.0,14628.6,5754.1,8855.9,130.7,129.0,123.0,97.4,1.45
1998-08-01,41.4,4.8,903.98,131390.0,40.9,562.1,137570.0,1032563.0,81.5458,10929.0,71.305,104276.69,364259.32,1614.0,316.0,132.0,779.0,387.0,86.4183,88.8113,77.7529,100.3337,89.1722,65.0923,93.7424,95.8084,67.8141,89.5835,76.5407,104.0389,111.7119,1075.9,2587.9,4228.7,17563.0,126544.0,1272.2531,10201.936,102124.0,1626.0,808.0,818.0,1963.0,2597.0,13.7,4.5,6215.0,7605.0,24420.0,19959.0,14641.5,5759.7,8894.5,130.4,128.7,122.7,93.6,1.44
